doc_id,title,department,version,status,superseded_by,applies_if,differing_fact,value,governs,correct_doc_id,sensitivity,stale,gold_chunk_id
it-laptop-request-v1,Laptop Request and Refresh Policy,IT,1,superseded,it-laptop-request-v2,join_date < 2024-10-01 AND department == Engineering,Laptop refresh cycle,4-year,Engineering employees who joined before 1 October 2024,,internal,false,it-laptop-request-v1::s03p0
it-laptop-request-v2,Laptop Request and Refresh Policy,IT,2,current,,join_date >= 2024-10-01 AND department == Engineering,Laptop refresh cycle,3-year,Engineering employees who joined on or after 1 October 2024,,internal,false,it-laptop-request-v2::s03p0
it-vpn-access-v1,VPN Access Policy,IT,1,superseded,it-vpn-access-v2,[],VPN idle session timeout,60 minutes,nobody (fully replaced by v2),,internal,false,it-vpn-access-v1::s04p0
it-vpn-access-v2,VPN Access Policy,IT,2,current,,[],VPN idle session timeout,30 minutes,all employees,,internal,false,it-vpn-access-v2::s04p0
it-password-rules-v1,Password Rules,IT,1,superseded,it-password-rules-v2,[],Minimum password length,12 characters,nobody (fully replaced by v2),,internal,false,it-password-rules-v1::s01p0
it-password-rules-v2,Password Rules,IT,2,current,,[],Minimum password length,14 characters,all employees,,internal,false,it-password-rules-v2::s01p0
it-software-install-v1,Software Installation Policy,IT,1,superseded,it-software-install-v2,[],Fulfilment time for approved software requests,5 business days,nobody (fully replaced by v2),,internal,false,it-software-install-v1::s03p0
it-software-install-v2,Software Installation Policy,IT,2,current,,[],Fulfilment time for approved software requests,3 business days,all employees,,internal,false,it-software-install-v2::s03p0
it-asset-return-v1,IT Asset Return Policy,IT,1,superseded,it-asset-return-v2,[],Asset return deadline after last working day,7 working days,nobody (fully replaced by v2),,internal,false,it-asset-return-v1::s02p0
it-asset-return-v2,IT Asset Return Policy,IT,2,current,,[],Asset return deadline after last working day,3 working days,all employees,,internal,false,it-asset-return-v2::s02p0
fac-desk-booking-v1,Desk Booking Policy,Facilities,1,superseded,fac-desk-booking-v2,[],Advance desk booking window,7 days,nobody (fully replaced by v2),,internal,false,fac-desk-booking-v1::s01p0
fac-desk-booking-v2,Desk Booking Policy,Facilities,2,current,,[],Advance desk booking window,14 days,all employees,,internal,false,fac-desk-booking-v2::s01p0
fac-parking-v1,Office Parking Policy,Facilities,1,superseded,fac-parking-v2,location == Bengaluru AND join_date < 2025-06-01,Monthly parking permit fee,"INR 1,000",Bengaluru office employees who joined before 1 June 2025,,internal,false,fac-parking-v1::s02p0
fac-parking-v2,Office Parking Policy,Facilities,2,current,,location == Bengaluru AND join_date >= 2025-06-01,Monthly parking permit fee,"INR 1,500",Bengaluru office employees who joined on or after 1 June 2025,,internal,false,fac-parking-v2::s02p0
fac-visitor-pass-v1,Visitor Pass Policy,Facilities,1,superseded,fac-visitor-pass-v2,[],Visitor pre-registration lead time,24 hours,nobody (fully replaced by v2),,internal,false,fac-visitor-pass-v1::s01p0
fac-visitor-pass-v2,Visitor Pass Policy,Facilities,2,current,,[],Visitor pre-registration lead time,48 hours,all employees,,internal,false,fac-visitor-pass-v2::s01p0
fin-travel-booking-v1,Business Travel Booking Policy,Finance,1,superseded,fin-travel-booking-v2,[],Minimum advance booking for domestic flights,14 days,nobody (fully replaced by v2),,internal,false,fin-travel-booking-v1::s03p0
fin-travel-booking-v2,Business Travel Booking Policy,Finance,2,current,,[],Minimum advance booking for domestic flights,21 days,all employees,,internal,false,fin-travel-booking-v2::s03p0
fin-reimbursement-limits-v1,Reimbursement Limits Policy,Finance,1,superseded,fin-reimbursement-limits-v2,[],Daily meal allowance on domestic travel,"INR 1,500",nobody (fully replaced by v2),,internal,false,fin-reimbursement-limits-v1::s01p0
fin-reimbursement-limits-v2,Reimbursement Limits Policy,Finance,2,current,,[],Daily meal allowance on domestic travel,"INR 2,000",all employees,,internal,false,fin-reimbursement-limits-v2::s01p0
hr-helpdesk-contacts,HR Helpdesk Contacts,HR,,current,,[],,,,,internal,false,
hr-first-day-checklist,First Day Checklist,HR,,current,,[],,,,,internal,false,
hr-payslip-download-howto,How to Download Your Payslip,HR,,current,,[],,,,,internal,false,
hr-emergency-contact-howto,How to Update Your Emergency Contact,HR,,current,,[],,,,,internal,false,
hr-onboarding-faq,New Joiner FAQ,HR,,current,,[],,,,,internal,false,
hr-people-operations-team,People Operations Team,HR,,current,,[],,,,,internal,false,
hr-bank-details-howto,How to Change Your Salary Bank Account,HR,,current,,[],,,,,internal,false,
hr-leave-request-howto,How to Apply for Leave,HR,,current,,[],,,,,internal,false,
hr-exit-clearance-checklist,Exit Clearance Checklist,HR,,current,,[],,,,,internal,false,
hr-background-verification-sop,Background Verification SOP,HR,,current,,[],,,,,internal,false,
hr-manager-onboarding-checklist,Manager Checklist for New Joiners,HR,,current,,[],,,,,internal,false,
hr-employment-letter-howto,How to Request an Employment Letter,HR,,current,,[],,,,,internal,false,
hr-new-joiner-onboarding-sop,New Joiner Onboarding SOP,HR,,current,,[],,,,,internal,false,
hr-benefits-faq,Employee Benefits FAQ,HR,,current,,[],,,,,internal,false,
hr-grievance-handling-sop,Grievance Handling SOP,HR,,current,,[],,,,,internal,false,
hr-performance-review-guide,Performance Review Guide,HR,,current,,[],,,,,internal,false,
it-service-desk-contacts,IT Service Desk Contacts,IT,,current,,[],,,,,internal,false,
it-wifi-setup-howto,How to Connect to Office Wi-Fi,IT,,current,,[],,,,,internal,false,
it-printer-setup-howto,How to Set Up Office Printing,IT,,current,,[],,,,,internal,false,
it-mfa-reset-howto,How to Reset Multi-Factor Authentication,IT,,current,,[],,,,,internal,false,
it-laptop-first-login-howto,First Login on Your Company Laptop,IT,,current,,[],,,,,internal,false,
it-email-calendar-setup,Setting Up Email and Calendar,IT,,current,,[],,,,,internal,false,
it-password-manager-howto,How to Use the Company Password Manager,IT,,current,,[],,,,,internal,false,
it-vpn-troubleshooting-faq,VPN Troubleshooting FAQ,IT,,current,,[],,,,,internal,false,
it-video-conferencing-howto,How to Use Video Conferencing,IT,,current,,[],,,,,internal,false,
it-software-catalogue-howto,How to Install Software from the Catalogue,IT,,current,,[],,,,,internal,false,
it-mobile-device-enrolment-howto,How to Use Work Apps on Your Phone,IT,,current,,[],,,,,internal,false,
it-glossary,IT Glossary,IT,,current,,[],,,,,internal,false,
it-escalation-matrix,IT Incident Escalation Matrix,IT,,current,,[],,,,,internal,false,
it-troubleshooting-faq,IT Troubleshooting FAQ,IT,,current,,[],,,,,internal,false,
it-new-joiner-setup-guide,New Joiner IT Setup Guide,IT,,current,,[],,,,,internal,false,
it-remote-working-guide,Remote Working Technology Guide,IT,,current,,[],,,,,internal,false,
fac-helpdesk-contacts,Facilities Help Desk Contacts,Facilities,,current,,[],,,,,internal,false,
fac-locker-request-howto,How to Request a Locker,Facilities,,current,,[],,,,,internal,false,
fac-end-of-day-checklist,End of Day Office Checklist,Facilities,,current,,[],,,,,internal,false,
fac-desk-booking-howto,How to Book a Desk,Facilities,,current,,[],,,,,internal,false,
fac-meeting-room-howto,How to Book a Meeting Room,Facilities,,current,,[],,,,,internal,false,
fac-id-badge-faq,ID Badge and Office Access FAQ,Facilities,,current,,[],,,,,internal,false,
fac-visitor-hosting-checklist,Checklist for Hosting a Visitor,Facilities,,current,,[],,,,,internal,false,
fac-maintenance-request-howto,How to Report a Maintenance Issue,Facilities,,current,,[],,,,,internal,false,
fac-parking-faq,Parking and Commuting FAQ,Facilities,,current,,[],,,,,internal,false,
fac-bengaluru-office-guide,Bengaluru Office Floor Guide,Facilities,,current,,[],,,,,internal,false,
fac-escalation-contacts,Facilities Escalation Contacts,Facilities,,current,,[],,,,,internal,false,
fac-workplace-faq,Workplace and Office Facilities FAQ,Facilities,,current,,[],,,,,internal,false,
fin-travel-desk-faq,Travel Desk FAQ,Finance,,current,,[],Minimum advance booking for domestic flights,14 days,,fin-travel-booking-v2,internal,false,fin-travel-desk-faq::s00p0
it-security-basics-faq,Security Basics FAQ for New Joiners,IT,,current,,[],Minimum password length,12 characters,,it-password-rules-v2,internal,false,it-security-basics-faq::s00p0
fac-reception-faq,Reception Desk FAQ,Facilities,,current,,[],Visitor pre-registration lead time,24 hours,,fac-visitor-pass-v2,internal,false,fac-reception-faq::s00p0
it-platform-team-wiki,Platform Team Wiki - Remote Access Notes,IT,,current,,[],VPN idle session timeout,60 minutes,,it-vpn-access-v2,internal,false,it-platform-team-wiki::s03p0
hr-talent-acquisition-wiki,Talent Acquisition Team Wiki - Referrals,HR,,current,,[],Referral bonus amount,"INR 50,000",,hr-referral-bonus-v2,internal,false,hr-talent-acquisition-wiki::s04p0
fin-accounts-payable-wiki,Accounts Payable Team Wiki - Employee Claims,Finance,,current,,[],Claim submission deadline,60 calendar days,,hr-expense-claims-v2,internal,false,fin-accounts-payable-wiki::s03p0
it-service-desk-kt-transcript,Service Desk KT Session - Software Requests,IT,,current,,[],Fulfilment time for approved software requests,5 business days,,it-software-install-v2,internal,false,it-service-desk-kt-transcript::s00p0
it-offboarding-kt-transcript,End User Services KT Session - Leaver Equipment,IT,,current,,[],Asset return deadline after last working day,7 working days,,it-asset-return-v2,internal,false,it-offboarding-kt-transcript::s00p0
hr-engineering-onboarding-checklist,Engineering New Joiner Checklist,HR,,current,,[],Probation period length,6 months,,hr-probation-policy-v2,internal,false,hr-engineering-onboarding-checklist::s04p0
fac-new-starter-office-checklist,New Starter Office Checklist,Facilities,,current,,[],Advance desk booking window,7 days,,fac-desk-booking-v2,internal,false,fac-new-starter-office-checklist::s02p0
hr-manager-crib-sheet,Manager Crib Sheet - New Team Members,HR,,current,,[],Maximum WFH days per week,3 days,,hr-wfh-policy-v2,internal,false,hr-manager-crib-sheet::s01p0
fin-manager-expense-crib-sheet,Manager Crib Sheet - Approving Team Expenses,Finance,,current,,[],Daily meal allowance on domestic travel,"INR 1,500",,fin-reimbursement-limits-v2,internal,false,fin-manager-expense-crib-sheet::s02p0
fin-receipt-upload-howto,How to Attach a Receipt to an Expense Claim,Finance,,current,,[],,,,,internal,false,
fin-invoice-status-howto,How to Check a Supplier Invoice's Payment Status,Finance,,current,,[],,,,,internal,false,
fin-cost-centre-howto,How to Find Your Cost Centre,Finance,,current,,[],,,,,internal,false,
fin-payroll-calendar-2026,Payroll Calendar 2026,Finance,,current,,[],,,,,internal,false,
fin-expense-claim-howto,How to Submit an Expense Claim,Finance,,current,,[],,,,,internal,false,
fin-corporate-card-howto,How to Get and Use a Corporate Card,Finance,,current,,[],,,,,internal,false,
fin-purchase-order-howto,How to Raise a Purchase Order,Finance,,current,,[],,,,,internal,false,
fin-vendor-onboarding-checklist,Checklist for Onboarding a New Vendor,Finance,,current,,[],,,,,internal,false,
fin-invoice-faq,Supplier Invoice FAQ,Finance,,current,,[],,,,,internal,false,
fin-procure-to-pay-guide,Procure-to-Pay Guide,Finance,,current,,[],,,,,internal,false,
fin-vendor-onboarding-sop,Vendor Onboarding SOP,Finance,,current,,[],,,,,internal,false,
fin-payroll-faq,Payroll FAQ,Finance,,current,,[],,,,,internal,false,
eng-branching-strategy,Branching Strategy,Engineering,,current,,[],,,,,internal,false,
eng-ci-pipeline-faq,CI Pipeline FAQ,Engineering,,current,,[],,,,,internal,false,
eng-code-review-process,Code Review Process,Engineering,,current,,[],,,,,internal,false,
eng-code-review-reviewer-guide,Code Review Guide for Reviewers,Engineering,,current,,[],,,,,internal,false,
eng-deployment-runbook,Production Deployment Runbook,Engineering,,current,,[],,,,,internal,false,
eng-glossary,Engineering Glossary,Engineering,,current,,[],,,,,internal,false,
eng-hotfix-branch-howto,How to Create a Hotfix Branch,Engineering,,current,,[],,,,,internal,false,
eng-local-environment-setup,Local Development Environment Setup,Engineering,,current,,[],,,,,internal,false,
eng-on-call-handbook,On-Call Handbook,Engineering,,current,,[],,,,,internal,false,
eng-on-call-rota-q4-2026,"Platform On-Call Rota, Q4 2026",Engineering,,current,,[],,,,,internal,false,
eng-repo-access-howto,How to Get Access to Code Repositories,Engineering,,current,,[],,,,,internal,false,
eng-rollback-runbook,Production Rollback Runbook,Engineering,,current,,[],,,,,internal,false,
legal-e-signature-howto,How to Send a Document for E-Signature,Legal,,current,,[],,,,,internal,false,
legal-nda-request-howto,How to Request an NDA,Legal,,current,,[],,,,,internal,false,
legal-coi-declaration-howto,How to Declare a Conflict of Interest,Legal,,current,,[],,,,,internal,false,
legal-nda-process,Non-Disclosure Agreement Process,Legal,,current,,[],,,,,internal,false,
legal-ip-assignment-faq,Intellectual Property Assignment FAQ,Legal,,current,,[],,,,,internal,false,
legal-contract-review-workflow,Contract Review Workflow,Legal,,current,,[],,,,,internal,false,
legal-data-protection-basics,Data Protection Basics,Legal,,current,,[],,,,,internal,false,
legal-records-retention-faq,Records Retention FAQ,Legal,,current,,[],,,,,internal,false,
legal-e-signature-faq,E-Signature FAQ,Legal,,current,,[],,,,,internal,false,
legal-conflict-of-interest-guide,Conflict of Interest Guide,Legal,,current,,[],,,,,internal,false,
legal-records-retention-schedule,Records Retention Schedule,Legal,,current,,[],,,,,internal,false,
legal-personal-data-handling-guide,Personal Data Handling Guide,Legal,,current,,[],,,,,internal,false,
hr-salary-bands-2026,Salary Bands by Grade 2026-27,HR,,current,,[],,,,,restricted,false,
hr-performance-calibration-guidelines,Performance Calibration Guidelines for Managers,HR,,current,,[],,,,,confidential,false,
hr-redundancy-process,Redundancy Process,HR,,current,,[],,,,,restricted,false,
eng-security-incident-runbook,Security Incident Runbook,Engineering,,current,,[],,,,,confidential,false,
legal-vendor-contract-terms,Standard Vendor Contract Terms,Legal,,current,,[],,,,,confidential,false,
legal-vendor-negotiation-fallbacks,Vendor Negotiation Fallbacks,Legal,,current,,[],,,,,confidential,false,
hr-exit-interview-summary-h1-2026,Exit Interview Summary H1 2026,HR,,current,,[],,,,,confidential,false,
hr-compensation-review-cycle-2026,Compensation Review Cycle 2026,HR,,current,,[],,,,,confidential,false,
hr-compensation-review-key-dates,Compensation Review 2026: Key Dates,HR,,current,,[],,,,,confidential,false,
hr-disciplinary-procedure,Disciplinary Procedure for Managers,HR,,current,,[],,,,,confidential,false,
eng-pentest-findings-2026-q2,Penetration Test Findings Q2 2026,Engineering,,current,,[],,,,,restricted,false,
eng-pentest-retest-tracker,Penetration Test Retest Tracker,Engineering,,current,,[],,,,,confidential,false,
eng-key-rotation-runbook,Key and Secret Rotation Runbook,Engineering,,current,,[],,,,,restricted,false,
fin-departmental-budget-plan-fy2026-27,Departmental Budget Plan FY 2026-27,Finance,,current,,[],,,,,restricted,false,
fin-budget-freeze-notice-h2,Budget Freeze Notice H2 FY 2026-27,Finance,,current,,[],,,,,restricted,false,
fin-cloud-vendor-commercial-terms,Cloud Vendor Commercial Terms,Finance,,current,,[],,,,,confidential,false,
legal-ma-due-diligence-checklist,M&A Due Diligence Checklist: Project Kestrel,Legal,,current,,[],,,,,restricted,false,
legal-kestrel-data-room-access,Project Kestrel Data Room Access,Legal,,current,,[],,,,,restricted,false,
fac-indiranagar-office-directions,Getting to the Indiranagar Office,Facilities,,current,,[],,,,,internal,true,
it-teamvault-file-sharing-guide,Sharing Files with TeamVault,IT,,current,,[],,,,,internal,true,
it-remote-desktop-gateway-howto,Working Remotely with the Remote Desktop Gateway,IT,,current,,[],,,,,internal,true,
fin-claimpoint-expense-guide,Submitting Expenses in ClaimPoint,Finance,,current,,[],,,,,internal,true,
hr-organisation-chart,Company Organisation Chart,HR,,current,,[],,,,,internal,true,
it-floor-printer-setup,Adding the Floor Printers,IT,,current,,[],,,,,internal,true,
it-helpline-ticketing-howto,How to Raise a HelpLine Ticket,IT,,current,,[],,,,,internal,true,
eng-build-server-guide,Using the Build Server,Engineering,,current,,[],,,,,internal,true,
